,sepal_length,sepal_width,petal_length,petal_width,species,calc_col
77,6.7,3.0,5.0,1.7,versicolor,8.5
78,6.0,2.9,4.5,1.5,versicolor,6.75
79,5.7,2.6,3.5,1.0,versicolor,3.5
80,5.5,2.4,3.8,1.1,versicolor,4.18
81,5.5,2.4,3.7,1.0,versicolor,3.7
82,5.8,2.7,3.9,1.2,versicolor,4.68
83,6.0,2.7,5.1,1.6,versicolor,8.16
84,5.4,3.0,4.5,1.5,versicolor,6.75
85,6.0,3.4,4.5,1.6,versicolor,7.2
86,6.7,3.1,4.7,1.5,versicolor,7.050000000000001
87,6.3,2.3,4.4,1.3,versicolor,5.720000000000001
88,5.6,3.0,4.1,1.3,versicolor,5.33
89,5.5,2.5,4.0,1.3,versicolor,5.2
90,5.5,2.6,4.4,1.2,versicolor,5.28
91,6.1,3.0,4.6,1.4,versicolor,6.4399999999999995
92,5.8,2.6,4.0,1.2,versicolor,4.8
93,5.0,2.3,3.3,1.0,versicolor,3.3
94,5.6,2.7,4.2,1.3,versicolor,5.460000000000001
95,5.7,3.0,4.2,1.2,versicolor,5.04
96,5.7,2.9,4.2,1.3,versicolor,5.460000000000001
97,6.2,2.9,4.3,1.3,versicolor,5.59
98,5.1,2.5,3.0,1.1,versicolor,3.3000000000000003
99,5.7,2.8,4.1,1.3,versicolor,5.33
100,6.3,3.3,6.0,2.5,virginica,15.0
101,5.8,2.7,5.1,1.9,virginica,9.69
102,7.1,3.0,5.9,2.1,virginica,12.39
103,6.3,2.9,5.6,1.8,virginica,10.08
104,6.5,3.0,5.8,2.2,virginica,12.76
105,7.6,3.0,6.6,2.1,virginica,13.86
106,4.9,2.5,4.5,1.7,virginica,7.6499999999999995
107,7.3,2.9,6.3,1.8,virginica,11.34
108,6.7,2.5,5.8,1.8,virginica,10.44
109,7.2,3.6,6.1,2.5,virginica,15.25
110,6.5,3.2,5.1,2.0,virginica,10.2
111,6.4,2.7,5.3,1.9,virginica,10.069999999999999
112,6.8,3.0,5.5,2.1,virginica,11.55
113,5.7,2.5,5.0,2.0,virginica,10.0
114,5.8,2.8,5.1,2.4,virginica,12.239999999999998
115,6.4,3.2,5.3,2.3,virginica,12.19
116,6.5,3.0,5.5,1.8,virginica,9.9
117,7.7,3.8,6.7,2.2,virginica,14.740000000000002
118,7.7,2.6,6.9,2.3,virginica,15.87
119,6.0,2.2,5.0,1.5,virginica,7.5
120,6.9,3.2,5.7,2.3,virginica,13.11
121,5.6,2.8,4.9,2.0,virginica,9.8
122,7.7,2.8,6.7,2.0,virginica,13.4
123,6.3,2.7,4.9,1.8,virginica,8.82
124,6.7,3.3,5.7,2.1,virginica,11.97
125,7.2,3.2,6.0,1.8,virginica,10.8
126,6.2,2.8,4.8,1.8,virginica,8.64
127,6.1,3.0,4.9,1.8,virginica,8.82
128,6.4,2.8,5.6,2.1,virginica,11.76
129,7.2,3.0,5.8,1.6,virginica,9.28
130,7.4,2.8,6.1,1.9,virginica,11.589999999999998
131,7.9,3.8,6.4,2.0,virginica,12.8
132,6.4,2.8,5.6,2.2,virginica,12.32
133,6.3,2.8,5.1,1.5,virginica,7.6499999999999995
134,6.1,2.6,5.6,1.4,virginica,7.839999999999999
135,7.7,3.0,6.1,2.3,virginica,14.029999999999998
136,6.3,3.4,5.6,2.4,virginica,13.44
137,6.4,3.1,5.5,1.8,virginica,9.9
138,6.0,3.0,4.8,1.8,virginica,8.64
139,6.9,3.1,5.4,2.1,virginica,11.340000000000002
140,6.7,3.1,5.6,2.4,virginica,13.44
141,6.9,3.1,5.1,2.3,virginica,11.729999999999999
142,5.8,2.7,5.1,1.9,virginica,9.69
143,6.8,3.2,5.9,2.3,virginica,13.57
144,6.7,3.3,5.7,2.5,virginica,14.25
145,6.7,3.0,5.2,2.3,virginica,11.959999999999999
146,6.3,2.5,5.0,1.9,virginica,9.5
147,6.5,3.0,5.2,2.0,virginica,10.4
148,6.2,3.4,5.4,2.3,virginica,12.42
149,5.9,3.0,5.1,1.8,virginica,9.18
